Numero Matriculaciones;Tipo de Vehiculo;Año;Periodo
41.709;Diésel;2017;Septiembre
43.411;Diésel;2017;Octubre
46.512;Diésel;2017;Noviembre
45.164;Diésel;2017;Diciembre
42.45;Diésel;2018;Enero
42.155;Diésel;2018;Febrero
46.061;Diésel;2018;Marzo
42.694;Diésel;2018;Abril
47.873;Diésel;2018;Mayo
50.497;Diésel;2018;Junio
47.228;Diésel;2018;Julio
40.325;Diésel;2018;Agosto
25.393;Diésel;2018;Septiembre
28.975;Diésel;2018;Octubre
27.806;Diésel;2018;Noviembre
32.021;Diésel;2018;Diciembre
27.028;Diésel;2019;Enero
30.073;Diésel;2019;Febrero
33.045;Diésel;2019;Marzo
32.558;Diésel;2019;Abril
35.607;Diésel;2019;Mayo
33.792;Diésel;2019;Junio
30.417;Diésel;2019;Julio
20.223;Diésel;2019;Agosto
23.082;Diésel;2019;Septiembre
27.73;Diésel;2019;Octubre
26.442;Diésel;2019;Noviembre
30.826;Diésel;2019;Diciembre
23.921;Diésel;2020;Enero
26.458;Diésel;2020;Febrero
9.341;Diésel;2020;Marzo
1.212;Diésel;2020;Abril
10.719;Diésel;2020;Mayo
24.272;Diésel;2020;Junio
31.052;Diésel;2020;Julio
18.384;Diésel;2020;Agosto
20.566;Diésel;2020;Septiembre
36.064;Gasolina;2017;Septiembre
49.381;Gasolina;2017;Octubre
50.882;Gasolina;2017;Noviembre
51.316;Gasolina;2017;Diciembre
51.644;Gasolina;2018;Enero
61.346;Gasolina;2018;Febrero
74.806;Gasolina;2018;Marzo
65.282;Gasolina;2018;Abril
77.962;Gasolina;2018;Mayo
80.247;Gasolina;2018;Junio
72.916;Gasolina;2018;Julio
58.187;Gasolina;2018;Agosto
36.381;Gasolina;2018;Septiembre
49.675;Gasolina;2018;Octubre
53.806;Gasolina;2018;Noviembre
57.279;Gasolina;2018;Diciembre
56.155;Gasolina;2019;Enero
60.612;Gasolina;2019;Febrero
77.439;Gasolina;2019;Marzo
75.344;Gasolina;2019;Abril
75.068;Gasolina;2019;Mayo
82.728;Gasolina;2019;Junio
71.977;Gasolina;2019;Julio
44.065;Gasolina;2019;Agosto
46.779;Gasolina;2019;Septiembre
52.757;Gasolina;2019;Octubre
52.157;Gasolina;2019;Noviembre
61.109;Gasolina;2019;Diciembre
46.609;Gasolina;2020;Enero
52.591;Gasolina;2020;Febrero
20.782;Gasolina;2020;Marzo
2.486;Gasolina;2020;Abril
17.328;Gasolina;2020;Mayo
43.383;Gasolina;2020;Junio
62.953;Gasolina;2020;Julio
34.711;Gasolina;2020;Agosto
32.783;Gasolina;2020;Septiembre
5.518;Híbridos. eléctricos y otros;2017;Septiembre
6.799;Híbridos. eléctricos y otros;2017;Octubre
6.836;Híbridos. eléctricos y otros;2017;Noviembre
6.464;Híbridos. eléctricos y otros;2017;Diciembre
7.567;Híbridos. eléctricos y otros;2018;Enero
6.974;Híbridos. eléctricos y otros;2018;Febrero
7.313;Híbridos. eléctricos y otros;2018;Marzo
8.457;Híbridos. eléctricos y otros;2018;Abril
9.69;Híbridos. eléctricos y otros;2018;Mayo
11.653;Híbridos. eléctricos y otros;2018;Junio
11.038;Híbridos. eléctricos y otros;2018;Julio
9.18;Híbridos. eléctricos y otros;2018;Agosto
7.355;Híbridos. eléctricos y otros;2018;Septiembre
9.761;Híbridos. eléctricos y otros;2018;Octubre
9.451;Híbridos. eléctricos y otros;2018;Noviembre
13.918;Híbridos. eléctricos y otros;2018;Diciembre
10.355;Híbridos. eléctricos y otros;2019;Enero
10.008;Híbridos. eléctricos y otros;2019;Febrero
12.18;Híbridos. eléctricos y otros;2019;Marzo
11.515;Híbridos. eléctricos y otros;2019;Abril
14.95;Híbridos. eléctricos y otros;2019;Mayo
13.999;Híbridos. eléctricos y otros;2019;Junio
14.292;Híbridos. eléctricos y otros;2019;Julio
10.202;Híbridos. eléctricos y otros;2019;Agosto
11.89;Híbridos. eléctricos y otros;2019;Septiembre
13.474;Híbridos. eléctricos y otros;2019;Octubre
14.559;Híbridos. eléctricos y otros;2019;Noviembre
13.918;Híbridos. eléctricos y otros;2019;Diciembre
15.913;Híbridos. eléctricos y otros;2020;Enero
15.571;Híbridos. eléctricos y otros;2020;Febrero
7.521;Híbridos. eléctricos y otros;2020;Marzo
465;Híbridos. eléctricos y otros;2020;Abril
6.29;Híbridos. eléctricos y otros;2020;Mayo
14.996;Híbridos. eléctricos y otros;2020;Junio
23.924;Híbridos. eléctricos y otros;2020;Julio
13.83;Híbridos. eléctricos y otros;2020;Agosto
17.38;Híbridos. eléctricos y otros;2020;Septiembre
