"Año";"Periodo";"Nº de pasajeros aéreos"
"2004";"Junio";"15.153.907"
"2005";"Junio";"16.548.291"
"2006";"Junio";"17.989.279"
"2007";"Junio";"19.560.182"
"2008";"Junio";"19.234.248"
"2009";"Junio";"17.586.135"
"2010";"Junio";"18.151.704"
"2011";"Junio";"19.392.724"
"2012";"Junio";"19.133.547"
"2013";"Junio";"18.509.931"
"2014";"Junio";"19.393.268"
"2015";"Junio";"20.116.387"
"2016";"Junio";"22.285.336"
"2017";"Junio";"24.455.577"
"2018";"Junio";"25.701.475"
"2019";"Junio";"27.275.553"
"2020";"Junio";"1.053.780"
;;
;;
"Métrica":"Nº de pasajeros aéreos"
"Fuente":"Aena"
"Clasificación":""
"Unidad":"Nº de pasajeros"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/numero-pasajeros-registrados-aeropuertos-red-aena/2588921a-bbc8-49cb-865e-07dc6cb3b823"
"Titulo":"Número de pasajeros registrados en los aeropuertos de la red de Aena"
"Subtitulo":"En los meses de junio"
